Denominación;Fecha última modificación;Dirección;Código Provincia;Codigo Municipio INE;Provincia;Localidad;CP;Zona Acción Social;Teléfono;Fax;email;Web;Entidad_Titular;Naturaleza;Sector;Tipo;Subtipo
SERVICIO DE AYUDA A DOMICIILIO;04/07/2023;AVENIDA HISPANIDAD 2;03;03009;ALICANTE;ALCOY;03804;ZAS fuera de Castilla y León;663 980064;;diana@mejorencasa.es;;SIEMPREHOGAR SERVICIOS SOCIALES SL;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE AYUDA A DOMICLIO;17/11/2022;AVENIDA  HISPANIDAD 2;03;03009;ALICANTE;ALCOY;03804;ZDESCONOCIDO;663 980064;;diana@mejorencasa.es;;SIEMPREHOGAR SERVICIOS SOCIALES SL;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
AYUDA A DOMICILIO;03/10/2022;AVENIDA  HISPANIDAD, 2;03;03009;ALICANTE;ALCOY;03804;ZAS fuera de Castilla y León;966 522836;;diana@mejorencasa.es;;SIEMPREHOGAR SERVICIOS SOCIALES SL;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE AYUDA A DOMICILIO;07/06/2023;AVENIDA HISPANIDAD Nº 2;03;03009;ALICANTE;ALCOY;03804;ZAS fuera de Castilla y León;663 980064;;diana@mejorencasa.es;;SIEMPREHOGAR SERVICIOS SOCIALES SL;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO AYUDA A DOMICILIO;24/10/2022;AVENIDA HISPANIDAD Nº 2;03;03009;ALICANTE;ALCOY;03804;ZAS fuera de Castilla y León;663 980064;;diana@mejorencasa.es;;SIEMPREHOGAR SERVICIOS SOCIALES SL;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE AYUDA A DOMICILIO;03/10/2022;AVENIDA HISPANIDAD, Nº2;03;03009;ALICANTE;ALCOY;03804;ZDESCONOCIDO;663 980064;;;;SIEMPREHOGAR SERVICIOS SOCIALES SL;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE AYUDA A DOMICILIO;31/05/2023;AVENIDA HISPANIDAD 2;03;03009;ALICANTE;ALCOY;03804;ZAS fuera de Castilla y León;622 356032;;;;SIEMPREHOGAR SERVICIOS SOCIALES SL;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
 AYUDA A DOMICILIO;01/06/2023;AVENIDA HISPANDAD, Nº 2;03;03009;ALICANTE;ALCOY;03804;ZAS fuera de Castilla y León;663 980064;;diana@mejorencasa.es;;SIEMPREHOGAR SERVICIOS SOCIALES SL;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE ATENCIÓN EN CENTROS DE DÍA PARA PERSONAS MAYORES EN SITUACIÓN DE DEPENDENCIA;10/02/2022;CALLE DONADORES, Nº 24;03;03015;ALICANTE;ALMORADI;03160;ZDESCONOCIDO;649 749195;;;;SEGERSAD PENINSULAR, S.L.;SOCIEDADES;PERSONAS MAYORES;Servicio;( 28.3  ) Servicio de atención en centros de día para personas mayores en situación de dependencia
SERVICIO DE ATENCIÓN RESIDENCIAL PARA PERSONAS MAYORES EN SITUACIÓN DE DEPENDENCIA;10/02/2022;CALLE DONADORES, Nº 24;03;03015;ALICANTE;ALMORADI;03160;ZDESCONOCIDO;649 749195;;;;SEGERSAD PENINSULAR, S.L.;SOCIEDADES;PERSONAS MAYORES;Servicio;(29.13 ) Servicio de atención residencial para personas mayores en situación de dependencia
SERVICIO DE AYUDA A DOMICILIO;05/07/2024;CALLE VICENTE BLASCO IBAÑEZ, 18-ELCHE (ALICANTE);03;03065;ALICANTE;ELCHE / ELX;03201;ZAS fuera de Castilla y León;965 436851;965 647313505;licitaciones@asistenzia.es;;PROTECCIÓN GERIÁTRICA 2005, S.L.;SOCIEDADES;PERSONAS MAYORES;Servicio;Ayuda a domicilio
SERVICIO DE AYUDA A DOMICILIO;18/01/2024;CALLE VICENTE BLASCO IBAÑEZ 18 BAJO;03;03065;ALICANTE;ELCHE / ELX;03201;ZAS fuera de Castilla y León;673 313505;;LICITACIONES@ASISTENZIA.ES;;PROTECCIÓN GERIÁTRICA 2005, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE AYUDA A DOMICILIO;29/05/2023;CALLE FLORENCIA 33;04;04079;ALMERIA;AGUADULCE;04720;ZDESCONOCIDO;674 178364;;contratacion@al-alba-ese.com;;AL- ALBA ESE GRANADA ALMERIA, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
PROMOCIÓN Y FORMACIÓN MUJER;24/08/2022;PLAZA MAYOR 1;05;05001;AVILA;ADANERO;05296;MORAÑA - ARÉVALO;920 307022;;;;ASOCIACIÓN NUESTRA SEÑORA DE BELÉN;ASOCIACIÓN;MUJER;Servicio;Promoción de la mujer
SOCIO-CULTURAL;01/12/2009;CALLE ARBOLEDA ,1;05;05001;AVILA;ADANERO;05296;MORAÑA - ARÉVALO;920 307078;;;;ASOCIACIÓN DE JUBILADOS Y PENSIONISTAS DE LA VILLA DE ADANERO;ASOCIACIÓN;PERSONAS MAYORES;Residencia, Servicio;Sociocultural
SERVICIO DE HABILITACIÓN PSICOSOCIAL PARA PERSONAS CON ENFERMEDAD MENTAL O DISCAPACIDAD INTELECTUAL;15/05/2024;AVENIDA DOCTOR CIFUENTES 1;05;05002;AVILA;ADRADA (LA) ;05430;TIÉTAR - LA ADRADA;920 352732;;direccionsvi@asociacionfaema.org;;FAEMA SALUD MENTAL ÁVILA;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
SERVICIO DE PROMOCIÓN, MANTENIMIENTO Y RECUPERACIÓN DE LA AUTONOMÍA FUNCIONAL;15/05/2024;AVENIDA DOCTOR CIFUENTES 1;05;05002;AVILA;ADRADA (LA) ;05430;TIÉTAR - LA ADRADA;920 352732;;direccionsvi@asociacionfaema.org;;FAEMA SALUD MENTAL ÁVILA;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
SERVICIO DE HABILITACIÓN Y TERAPIA OCUPACIONAL;15/05/2024;AVENIDA DOCTOR CIFUENTES 1;05;05002;AVILA;ADRADA (LA) ;05430;TIÉTAR - LA ADRADA;920 352732;;direccionsvi@asociacionfaema.org	;;FAEMA SALUD MENTAL ÁVILA;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Servicio de habilitación y terapia ocupacional
SERVICIO DE ESTIMULACIÓN COGNITIVA;14/05/2024;CALLE DOCTOR PEDRO CIFUENTES , Nº 1;05;05002;AVILA;ADRADA (LA) ;05430;TIÉTAR - LA ADRADA;920 352732;;direccionsvi@asociacionfaema.org	;;FAEMA SALUD MENTAL ÁVILA;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Servicio de estimulación cognitiva
PROYECTO "CON PAPELES";24/08/2022;PLAZA DEL RIÑON S/N;05;05002;AVILA;ADRADA (LA) ;05430;TIÉTAR - LA ADRADA;669 387335;;universida@cop.es;;ASOCIACIÓN UNIVER-SIDA;ASOCIACIÓN;INCLUSIÓN SOCIAL-[IM];Servicio;Información, orientación y asesoramiento
PROMOCIÓN SOCIOCULTURAL DE MAYORES (CLUB);01/12/2020;PLAZA VILLA (DE LA) 3;05;05002;AVILA;ADRADA (LA) ;05430;TIÉTAR - LA ADRADA;91 8670579;;;;ASOCIACIÓN HOGAR MUNICIPAL DEL PENSIONISTAS DE LA ADRADA;ASOCIACIÓN;PERSONAS MAYORES;Residencia, Servicio;Sociocultural
PROMOCIÓN Y FORMACIÓN DE LA MUJER;24/08/2022;CALLE BARRANCO S/N;05;05005;AVILA;ALBORNOS;05358;MORAÑA ALTA - MADRIGAL DE LAS ALTAS TORRES;920 240590;;;;ASOCIACIÓN DE AMAS DE CASA SANTA GEMA;ASOCIACIÓN;MUJER;Servicio;Promoción de la mujer
SOCIO-CULTURAL;05/03/2007;CALLE BARRANCO 2;05;05005;AVILA;ALBORNOS;05358;MORAÑA ALTA - MADRIGAL DE LAS ALTAS TORRES;920 240253;;;;ASOCIACIÓN PENSIONISTAS DE ALBORNOS;ASOCIACIÓN;PERSONAS MAYORES;Residencia, Servicio;Sociocultural
SERVICIO DE ATENCION RESIDENCIAL PARA PERSONAS MAYORES EN SITUACION DE DEPENDENCIA;30/09/2021;CALLE POZO 10;05;05008;AVILA;ALDEASECA;05212;MORAÑA - ARÉVALO;920 306039;920 306401;;;CARLOTA FERNANDEZ MARTIN;PERSONA FÍSICA-EMPRESA INDIVIDUAL;PERSONAS MAYORES;Servicio;(29.13 ) Servicio de atención residencial para personas mayores en situación de dependencia
PROMOCION, MANTENIMIENTO Y RECUPERACIÓN DE LA AUTONOMÍA FUNCIONAL;10/02/2022;CALLE POZO 10;05;05008;AVILA;ALDEASECA;05212;MORAÑA - ARÉVALO;920 306039;;info@virgendelrosario-aldeaseca.es;;CARLOTA FERNANDEZ MARTIN;PERSONA FÍSICA-EMPRESA INDIVIDUAL;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
ESTIMULACION COGNITIVA;10/02/2022;CALLE POZO 10;05;05008;AVILA;ALDEASECA;05021;MORAÑA - ARÉVALO;920 306039;;info@virgendelrosario.aldeaseca.es;;CARLOTA FERNANDEZ MARTIN;PERSONA FÍSICA-EMPRESA INDIVIDUAL;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
HABILITACIÓN Y TERAPIA OCUPACIONAL;10/02/2022;CALLE POZO 10;05;05008;AVILA;ALDEASECA;05212;MORAÑA - ARÉVALO;920 306039;;info@virgendelrosario-aldeaseca.es;;CARLOTA FERNANDEZ MARTIN;PERSONA FÍSICA-EMPRESA INDIVIDUAL;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
PROMOCIÓN Y FORMACIÓN DE LA MUJER;24/08/2022;CALLE CALVARIO 3;05;05008;AVILA;ALDEASECA;05214;MORAÑA - ARÉVALO;920 306007;;;;ASOCIACIÓN DE MUJERES CRISTO DEL PRADO;ASOCIACIÓN;MUJER;Servicio;Promoción de la mujer
SOCIOCULTURAL;24/08/2022;CALLE ESCUELAS 1;05;05008;AVILA;ALDEASECA;05216;MORAÑA - ARÉVALO;920 306234;;;;ASOCIACIÓN DE JUBILADOS Y PENSIONISTAS " MAYORES DE ALDEASECA";ASOCIACIÓN;PERSONAS MAYORES;Residencia, Servicio;Sociocultural
SOCIOCULTURAL (CLUB);05/03/2007;CALLE MAYOR 6;05;05012;AVILA;AMAVIDA;05550;VALLE DE CORNEJA - PIEDRAHÍTA;;;;;ASOCIACIÓN DE TERCERA EDAD VIRGEN DE LAS AGUAS;ASOCIACIÓN;PERSONAS MAYORES;Residencia, Servicio;Sociocultural
SERVICIO SOCIOCULTURAL;05/03/2007;CALLE CILLA (LA) 3;05;05013;AVILA;ARENAL (EL);05416;TIÉTAR - LA ADRADA;920 375503;;;;ASOCIACIÓN DE TERCERA EDAD LA CAMPANA DE GREDOS;ASOCIACIÓN;PERSONAS MAYORES;Residencia, Servicio;Sociocultural
SERVICIO DE ESTIMULACION COGNITIVA;01/09/2023;CALLE PINTOR MARTINEZ VAZQUEZ 11  ;05;05014;AVILA;ARENAS DE SAN PEDRO;05400;TIÉTAR - ARENAS DE SAN PEDRO;920 700409;;secretaria@alzheimeravila.com;;ASOCIACIÓN DE FAMILIARES DE ENFERMOS DE ALZHEIMER ÁVILA (AFAVILA);ASOCIACIÓN;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE AYUDA A DOMICILIO;08/07/2024;CALLE FRAY JOSE TRINIDAD 3  ;05;05014;AVILA;ARENAS DE SAN PEDRO;05400;TIÉTAR - ARENAS DE SAN PEDRO;; 699849715;;;TAMARA MANZANERO BENAVENTE (BELLAVIDA);PERSONA FÍSICA-EMPRESA INDIVIDUAL;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE AYUDA A DOMICILIO;23/01/2023;CALLE FRAY JOSE TRINIDAD 3;05;05014;AVILA;ARENAS DE SAN PEDRO;05400;TIÉTAR - ARENAS DE SAN PEDRO;699 849715;;tamaramanzanero@gmail.com;;TAMARA MANZANERO BENAVENTE (BELLAVIDA);PERSONA FÍSICA-EMPRESA INDIVIDUAL;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
APOYO INDIVIDUAL EN ARENAS DE SAN PEDRO;24/08/2022;CALLE BERNARDO CHINARRO 2;05;05014;AVILA;ARENAS DE SAN PEDRO;05400;TIÉTAR - ARENAS DE SAN PEDRO;;;;;ASOCIACIÓN DE PADRES Y FAMILIARES DE PERSONAS CON AUTISMO ÁVILA Y PROVINCIA;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Intervenciones individualizadas temporales
INFORMACION Y ORIENTACION A FAMILIAS;06/07/2010;PLAZA CONDESTABLE DAVALOS S/N;05;05014;AVILA;ARENAS DE SAN PEDRO;05400;TIÉTAR - ARENAS DE SAN PEDRO;;;;;AREDIS ASOCIACIÓN PARA LA INTEGRACIÓN SOCIAL DE LAS PERSONAS CON DISCAPACIDAD;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Información y orientación sobre discapacidad
PERMANENCIA EN EL DOMICILIO:COMEDOR;24/08/2022;CARRETERA DE AVILA  S/N;05;05014;AVILA;PARRA (LA);05400;TIÉTAR - ARENAS DE SAN PEDRO;920 371173;;;;JARDIN DEL TIETAR, S.L.;SOCIEDADES;PERSONAS MAYORES;Servicio;Apoyo a la permanencia de personas mayores en su domicilio
GESTIÓN DE LA RESIDENCIA DE MAYORES "EL JARDÍN DEL TIÉTAR";24/08/2022;CARRETERA DE AVILA  S/N;05;05014;AVILA;PARRA (LA);05400;TIÉTAR - ARENAS DE SAN PEDRO;920 371173;;;;JARDIN DEL TIETAR, S.L.;SOCIEDADES;PERSONAS MAYORES;Servicio;Gestión de centros
SOCIO-CULTURAL;24/08/2022;CALLE CAÑADA REAL  1;05;05014;AVILA;RAMACASTAÑAS;05418;TIÉTAR - ARENAS DE SAN PEDRO;920 371256;;;;ASOCIACIÓN DEL JUBILADO "CAÑADA REAL";ASOCIACIÓN;PERSONAS MAYORES;Residencia, Servicio;Sociocultural
ASISTENCIA PERSONAL;30/09/2021;CALLE AMAYA 13;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 303158;;afarevalo@hotmail.com;;ASOCIACIÓN FAMILIARES DE ENFERMOS DE ALZHEIMER DE ARÉVALO Y COMARCA - AFA ARÉVALO Y COMARCA;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Asistencia Personal
